id,day,start_ts,end_ts,timezone_offset,nap,score_state,total_in_bed_milli,total_awake_milli,total_light_milli,total_sws_milli,total_rem_milli,total_no_data_milli,sleep_cycle_count,disturbance_count,need_baseline_milli,need_from_debt_milli,need_from_strain_milli,need_from_nap_milli,respiratory_rate,sleep_performance_pct,sleep_consistency_pct,sleep_efficiency_pct,updated_at
a29d760a-f5bf-4abc-b0aa-c7a1d405c653,2026-07-18,2026-07-18T06:49:02.380Z,2026-07-18T16:23:33.480Z,-07:00,0,SCORED,34471100.0,5323090.0,17637650.0,3186140.0,8324220.0,0.0,8,16,27266014.0,6532385.0,418258.0,0.0,16.875,79.0,79.0,84.557816,2026-07-18T16:33:41.122Z
5398372f-ad86-4593-8356-195400ec2872,2026-07-17,2026-07-17T07:17:01.530Z,2026-07-17T15:26:49.610Z,-07:00,0,SCORED,29388080.0,4625210.0,14428490.0,3486080.0,6848300.0,0.0,6,7,27266150.0,6930190.0,728017.0,0.0,16.40332,77.0,75.0,84.26161,2026-07-17T15:42:06.938Z
062ab053-e3eb-4d27-8e25-436194c001cb,2026-07-15,2026-07-15T08:12:07.640Z,2026-07-15T15:12:33.370Z,-07:00,0,SCORED,25225730.0,1895030.0,11647390.0,4988070.0,6695240.0,0.0,6,11,27266422.0,6395061.0,449513.0,0.0,16.113281,77.0,62.0,92.48771,2026-07-15T15:33:33.418Z
76bb6def-4bb6-4667-954f-22d1be24d0d2,2026-07-14,2026-07-14T08:02:06.600Z,2026-07-14T16:05:02.980Z,-07:00,0,SCORED,28976380.0,2973140.0,12185570.0,5497230.0,8320440.0,0.0,6,13,27266558.0,7668000.0,1016555.0,0.0,17.226562,74.0,43.0,89.73943,2026-07-14T16:25:11.266Z
6c1dbb27-8692-4f15-a6da-f1dcf7493296,2026-07-13,2026-07-13T09:53:34.460Z,2026-07-13T15:07:30.950Z,-07:00,0,SCORED,18836490.0,600000.0,8321320.0,3395980.0,6519190.0,0.0,2,7,27266694.0,7668000.0,236937.0,0.0,17.109375,52.0,29.0,97.59184,2026-07-13T15:21:06.401Z
223b29fd-8b9a-4255-9d55-89f9ff0be680,2026-07-12,2026-07-12T20:53:04.470Z,2026-07-12T23:42:34.680Z,-07:00,0,SCORED,10170210.0,2859040.0,2024050.0,3485070.0,1802050.0,0.0,2,2,27266830.0,7009547.0,2076117.0,-6058130.0,16.92871,4.0,26.0,71.88809,2026-07-13T02:00:44.778Z
8efb9fbf-9639-47fd-bbee-37f94d0448de,2026-07-12,2026-07-12T09:18:27.270Z,2026-07-12T11:05:27.450Z,-06:00,1,SCORED,6420180.0,362050.0,4013090.0,751990.0,1293050.0,0.0,1,2,27266830.0,7009547.0,1945948.0,0.0,16.855469,21.0,55.0,94.83343,2026-07-13T02:00:37.813Z
ebdb07b1-f9d2-446a-be81-ff7fdb623aa9,2026-07-11,2026-07-11T04:41:54.200Z,2026-07-11T13:14:18.900Z,-06:00,0,SCORED,30744700.0,8484010.0,12642390.0,4088120.0,5530180.0,0.0,3,7,27266966.0,6825462.0,2187356.0,0.0,17.514648,39.0,47.0,72.40497,2026-07-11T13:31:44.498Z
1f8b9c60-5af2-4b37-aab3-35284b99e753,2026-07-10,2026-07-10T07:11:23.730Z,2026-07-10T12:57:00.500Z,-06:00,0,SCORED,20736770.0,1171060.0,13383520.0,2850100.0,3332090.0,0.0,3,9,27267102.0,5430386.0,519146.0,0.0,17.578125,64.0,62.0,94.49404,2026-07-10T13:07:46.731Z
59316d19-4fb1-4157-b9fb-7f21d33faaf5,2026-07-09,2026-07-09T08:09:18.180Z,2026-07-09T15:18:02.910Z,-07:00,0,SCORED,25724730.0,1833010.0,10775360.0,5584080.0,7532280.0,0.0,4,6,27267238.0,4796825.0,274924.0,0.0,16.894531,85.0,88.0,93.430244,2026-07-09T16:01:00.613Z
